,tweet_id,user_id,bullying_traces,type,form,teasing,author_role,emotion,tweet_text
1,107688644067856384,185389094,y,self-disclosure,other,n,defender,empathy,"@USER i herd that you got bullied when you was 6 years old and i feel bad , are you ok"
4,102779484725448704,297557032,n,,,,,,The Bully at School Goes High Tech – Part 1 : The Section of State and Local Government Law of the Am ... HTTPURL #slaw #law
9,109034091743154176,177913822,n,,,,,,"@USER @USER @USER Hello , since when i got bully people ? Never physically you know ! :( Criminal is not supposed to be me .."
10,102533497637437441,70412906,y,report,other,n,reporter,none,For those keeping score at home - cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early .
14,103679008855691264,11363462,n,,,,,,"BETTER ANTI-BULLYING AD SLOGANS : Hey , Bullies . Since it HAS to be you our us , we 'll send flowers"
19,107478741424414720,360086723,n,,,,,,HTTPURL Please help to stop workplace bullying
22,103471384973418497,219025244,n,,,,,,"@USER yes on thur , she said she might , we 'll bully in revs . I dunno I have no friends hahaha"
24,106840582453870592,244569315,n,,,,,,@USER @USER bobby needs threw out that is disgusting #sweatgate #bully
25,101324602789208064,210803457,y,report,other,n,reporter,none,do n't you get it ? This is me getting rid of you . Hahaha #BULLY
29,103502694634889216,24170927,n,,,,,,@USER @USER nigga used to be a real herbalist bully idk wham ah deal with
31,101884602586636288,53301091,n,,,,,,"theres going to be bullys and ignorant people out there thats goi to spread lies about u or bully u , well DONT let it get u down"
37,106150056868061184,61120235,n,,,,,,"If I 'm not happy with my classes this week , I 'm gonna take the role as a bully and be an asshole . Watch out lower-classmen . It will be ugly ."
44,108154819906240512,17199808,n,,,,,,News from PrayerThatHeals.org - A spiritual defense against bullying HTTPURL #constantcontact
45,108340745324335104,27383561,y,self-disclosure,other,n,bully,none,Damm I think I 'm slick bully this dude always offering shit to avoid me for roasting his ass LoL
47,102903555840675840,90518694,y,report,cyberbullying,n,reporter,none,@USER duuuuude . cyber bully much ? I just read some of the tweets . how did it even start
48,103942171870248960,273744352,n,,,,,,#gymflow as my sister just showed off her push to start kia ! Def gonna have to get something new soon ! Or just bully hers
49,104940761937743874,40004611,n,,,,,,@USER Mostly I agree with @USER . Having strong opinions does not make one a bully . Just passionate .
52,100689407677440000,181218735,n,,,,,,"WED at 8p m on #LETITBEKNOWNLIVERADIO our Discussion "" Violence among the YOUTH PT 2 ... Bullying , Gang Violenc ... ( cont ) HTTPURL"
53,101677159214612480,322988853,n,,,,,,Stop Bullying Ppl Old America
57,100994011858354176,235740563,n,,,,,,Three bully vans just went past Candace 's Lewisham riots are starting again lordddddd
62,102196835317325825,275784822,y,report,other,n,reporter,none,"@USER Stop Bullying ! ! ! I LOVE YOU SO MUCH , FOLLOW ME PLASE ? #yesIcan 59"
64,104199536133668864,1380901,n,,,,,,"@USER totally . on one hand the retaliatory nature is pissy , on the other is great to see that bully-stick smackdown ."
66,107852102461693953,114062784,y,report,other,n,reporter,anger,"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE"
72,100335301150507008,126301524,y,denial,other,n,bully,none,@USER @USER @USER @USER @USER I was not bullying her ! She 's trying to steal Jean Martyn from meee ! :'( xx
75,100254756332769280,108461242,n,,,,,,"Paula , Kiersten and LJ 's song about bullying . Great job ! ( Uploading more videos now . ) HTTPURL"
81,108765481514708992,285461140,y,accusation,other,n,accuser,none,"@USER @USER @USER mr . walt , stop being a bully ."
82,100976790876602368,87483616,n,,,,,,HTTPURL @USER anti-bullying campaign
86,104826899435491328,94912172,n,,,,,,Follow-Up to ' Signs Your Child Might Be Getting Bullied ' #moms #dads HTTPURL #parenting #kids
93,104028556509716480,313424053,y,self-disclosure,other,n,defender,none,@USER Hey ! (: We Are Beliebers ! (: Can YouTell BIEBER To Tweet Us ! (: My Friend Has Been Bullied And Needs Cheered Up ! XD
99,102456954470932481,196318040,n,,,,,,@USER rip wat r u threatenin me on tha web u bully
101,104763342576562176,274636968,y,accusation,other,n,accuser,none,"@USER , He Used To Bully Yall In The Bathroom , Ll"
103,108966853661032448,14136089,n,,,,,,I favorited a @USER video HTTPURL Bully Cat Stuffs Cat In Box
104,102513594234699776,228305170,n,,,,,,"@USER haha ! They 're actually pictures from an anti-bullying campaign , blessem"
107,108160516131799040,224619837,y,report,other,n,reporter,none,@USER is a bully
113,107231891593244672,291789760,n,,,,,,"Also started Bully : Scholarship edition today ... Ok game . It 's definately got the fun factor , can see it getting old quickly ."
114,108149010929434624,122826164,n,,,,,,cesser l'intimidation - stop bullying .
115,108549768187351041,61734729,n,,,,,,"i think teuk went to hit someone because someone was bullying donghae ? then when they went back , manager-hyun ... ( cont ) HTTPURL"
118,100075342470979584,98596937,n,,,,,,"Photoset : › “ ... he 's sensitive , people bully him , too , and he feels lonely and has n't got anybody to talk to , ... HTTPURL"
119,100348064140754944,17531739,n,,,,,,Documentary about bullying of gays showing at Newbury Park community forum Aug 19th HTTPURL
124,108658709189754881,110786708,n,,,,,,"Also , wishing Nick would die from diabetes ? THAT'S LOW . And then you claim to be against bullying .. Yeah right !"
126,105992776746942464,12834972,n,,,,,,HTTPURL Stand Up Day ( stand up to bullying November 14 )
127,106800732031815680,302116139,n,,,,,,America ; the bully .
132,103053755540447232,22076089,y,report,other,n,reporter,none,"My 6 yo son is being bullied . It 's really hard to know what to do . I 'm shocked that it happens this early , this young . #canofbullies"
133,106027940524998656,201245718,n,,,,,,#SleepnSync : Make sure that your child is being bullied and not just bothered in a non-recurring way . #Bullying HTTPURL
136,102433486769627136,53593788,y,self-disclosure,other,n,victim,sadness,@USER @USER she bully me :(
137,104757138236256256,90347854,n,,,,,,"U all should whatch this video about bullying , and help take apart in ending it HTTPURL @USER"
140,100124868628066304,207145027,y,report,cyberbullying,n,reporter,none,@USER @USER @USER I unfollowed AvonSpurs a few days ago as believe he 's a cyber bully & a complete cock . I stand by it .
143,101658757964103680,207773364,y,self-disclosure,other,n,defender,none,@USER Quit Bullying Them
145,103257266811187200,327761248,y,self-disclosure,other,n,victim,none,"Then I thought he bullied me because he loved me , but he prooved I was wrong , one more time ."
152,108765071395655680,39955613,n,,,,,,"This year 's bully target : the shah rukh khan wannabe , @USER muahahaha HTTPURL"
153,100279498263638016,22147602,n,,,,,,@USER bully
154,101490713405038592,279702272,n,,,,,,@USER seriously lol how ppl tryna bully there ? ? Takin lunch money or what
155,104240118818291712,283175818,n,,,,,,"@USER @USER maybe "" bullying "" is a better word than "" internet rape "" ?"
158,107488254307205120,94912172,n,,,,,,A common - MYTH - about #Bullying in schools - ' It 's just kids being kids ' #education #moms #parents #dads
160,108391635246776322,34280840,n,,,,,,@USER gamestop bully
162,103004836852801536,267609506,y,report,other,n,reporter,anger,[ CL7 ] Who bully jjongie ? ! ! ! * angry * HTTPURL
164,104310338081660928,166190767,n,,,,,,""" Never be bullied into silence . Never allow yourself to be made a victim . Accept no one 's definition of your life ; define yourself . """
169,100328582508855296,160143415,n,,,,,,"#DeadpoolSays bullying is wrong , wait , scratch that ... Bullying Is FUN !"
171,106030123865739265,284534124,n,,,,,,[ EN ] Conservative MP 's Family Falls Victim to Online Bullying : HTTPURL
173,101776234794590208,220507804,y,self-disclosure,cyberbullying,n,bully,none,rebecca black has been bullied out of school but that 's what you get when you make crap songs
180,108493220312383488,180813638,n,,,,,,@USER I know - so cute . Love the way he spinelessly dives in to being a bully to win the girl !
185,103429674721476608,80415660,n,,,,,,Children with severe #foodallergy bullied - story in the Mail - HTTPURL
187,104719599265783809,7233652,y,self-disclosure,other,n,defender,none,"In the saga of the bullies : no , I wo n't allow your kid to bully mine in the grocery store while you watch . #mamabear"
189,105740633897050112,69114202,n,,,,,,"De Gea needs to eat some pies , gonna get bullied on crosses and corners"
190,106144907848196096,67324537,n,,,,,,Then asked me was I old enough to spread em ... I said yea spread bullets all over your cranium
191,107987147990106112,326990654,n,,,,,,Kids ' bullying is an ADULT problem . Learn more about the role adults play in Bullying Epidemic : Not Just Child 's Play . Coming Sept 2011 .
203,101335166525513728,138503909,n,,,,,,i wish the whole bulling-everything-that-breathes fad would go out tho #realtalk
205,102067466276044800,275037031,n,,,,,,"One day , our OCs get bullied at school . What 's their reaction ? @USER @USER @USER @USER @USER"
209,108636558881599489,297529823,n,,,,,,"The 64 was the school bully with its crude graceless blocky graphics , the Speccy the beautiful underdog with its charming colour clash ."
211,108417769673981952,348971776,n,,,,,,"What is this I hear about cyber-bullying . #GrammarNAZIs , tell your leader Alphabet Hitler that his days of #evildoing are numbered ! ! !"
214,102219441806376961,172776701,n,,,,,,I strongly dislike people who think they can bully people just because they are different .
215,103969264553299969,279188342,n,,,,,,This sat Club Gravity ! ' Bedroom Bully ' Music by Hot 97 & Power 105.1 Everyone free before 12 HTTPURL ; ..
218,105689722332004352,195446536,n,,,,,,@USER Whoa ! this is the deepest truth of all - DON'T BE YOUR OWN BULLY ! Truth will silence toxic thoughts & words !
219,108125147986276352,18627452,n,,,,,,"@USER i disagree again - naked women is not a form of protest against bullying , its cheap ."
222,101005489915166722,226218665,n,,,,,,@USER keep comin at @USER so he can get some views i hate a nigga dat try to get on dat bully shit to make they self look good
224,101008486179160064,153284292,n,,,,,,@USER awwww bully ... do n't let that bring you down ! :/
231,103298006077538305,141075053,y,self-disclosure,other,n,victim,none,@USER im sorry will u stop bullying me now im having a heart attack !
232,106238594515079169,37868690,n,,,,,,Lls im out she aint rockin thats wat im talkin bout bully
235,108494744417611776,56054309,n,,,,,,The Article Bully Domination System – Grab Your Copy TODAY ! HTTPURL
238,107759010534531072,335263710,n,,,,,,"@USER Tul bgt , mb .. Say NO to Bullying"
242,107762666738683904,106792949,y,denial,other,n,victim,none,"@USER that was n't bullies that was a random attack : L and lol , you , bully me ? do n't even pretend you do : L"
250,103881668535914497,20109343,n,,,,,,@USER The Bully on the Pulpit . #ChrisChristiePresidentialTourBusName #p2
252,108404942355697664,320924627,n,,,,,,Just Saw A Video On YouTube About A Little Boy Bullying A Big Ass Boy . Personally I Think EveryBody Story Is BS . I Wanna No What Happened
253,101379514747199488,15501305,n,,,,,,' Friday ' Singer Rebecca Black to Be Homeschooled After Verbal Bullying - FoxNews.com : HTTPURL #rebeccablack #homeschool
262,103651943448186880,121561685,n,,,,,,played Bully : Scholarship Edition ( 360 ) in the last 24 hours . HTTPURL
268,107083900584603648,124852884,n,,,,,,@USER bro i listen to numbers every morning real bully issh
279,102549173668294656,323321322,n,,,,,,@USER i love your stomp out bullying video ! very inspirational (: i think i will enter ... :heart_suit: HTTPURL )
280,103111053377929216,163144222,y,self-disclosure,other,n,victim,none,@USER I actually got bullied myself as well and tbh I do n't really wanna talk about it > . <
281,104335487988269056,161882495,n,,,,,,#WorstThingInTheWorld bullying .
282,106778495681708032,281817133,n,,,,,,"@USER he 's a dick to the bully lmaoo that 's great , there 's on when the dude gets ko'd"
287,102630777363234816,306001774,n,,,,,,@USER name calling isnt nice and it 's bullying too #stupid lol
289,107212700664348673,192587175,n,,,,,,"Cyber bullying and sexting a growing trend among teens : Students across the county are back in school this week , ... HTTPURL"
290,105124970711105539,172149255,n,,,,,,"@USER @USER @USER I was never really bullied by other kids , but I had to deal with simi ... ( cont ) HTTPURL"
300,108828051491651584,97068125,n,,,,,,"Victim response may be key to curb bullying , study says HTTPURL"
303,102152636203151360,246685999,n,,,,,,"@USER shyt iono .. i got hella shyt .. esp rockstar .. off the top of my head , the gta 's .. bully .. re4 .. PrinceOfPersias .. TwistedMetalBlack .. etc"
304,101654583021023233,214507236,n,,,,,,"Yeah , that should put an end to the bullying - I know it 's Thursday , Thursday , but I gotta post this on ... HTTPURL"
307,101499780613685249,309374000,n,,,,,,@USER @USER @USER @USER lmfao ur crying bc u died . SO SELFISH ! ! ! lol jk jk ;P
309,108213945730482176,63125455,y,self-disclosure,other,n,defender,none,@USER STOP BULLYING YOUR MUM ABOUT HER GUMS
311,106085303063810048,210841544,n,,,,,,"Bullying Victims See Lower GPAs , Particularly High Achieving Blacks and Latinos , Study Shows HTTPURL"
313,109022869564043264,312811873,n,,,,,,#ThingsWeNeedToChange Bullying between teenagers ! Definitely is what I think we need to change
314,101010060557299712,328722660,n,,,,,,@USER Hahahah xD Me haces bullying
315,103510524691623938,59044624,y,report,other,n,reporter,none,"This little boy bulling his baby brother ,"
317,100676606984597504,190932901,n,,,,,,@USER No ... just bully pits . From what I remember the Johnson Line are good Am Bulldog . If u just want a pet id try a rescue .
320,104741285600047104,262914441,y,self-disclosure,other,n,defender,none,#FF THIS PERSON WAS BULLIED BY JESSICA AND THOSE WHO DON'T LIKE OR TALK TO JESSICA SHOULD FOLLOW THIS TWITTER OK . - @USER
327,101490272122314752,322301883,n,,,,,,@USER * bullied
330,106132504364322816,60386562,y,report,other,n,reporter,none,@USER being black and being bullied in America is nothing new to the majority of black people #dontfetit
337,108163965749698560,59820085,n,,,,,,Quelling a bully screed ... Educating voters ... Helping shed some blue light in a red state ... Best Sunday in a long time .
339,104343923446648833,195969857,n,,,,,,@USER Do you have any advice for a girl who gets bullied a lot at school ? ? ? How do you stay so confident ? ? #MTVGaga
343,108950295761002496,19431976,n,,,,,,""" Never be bullied into silence . Never allow yourself to be made a victim . Accept no one 's definition of ... "" HTTPURL"
347,104619665032085504,351209780,n,,,,,,"i want to be a cyber-bully , which of you losers is going to tell me how to go about it , please ."
349,108361100478775296,322917463,y,report,other,n,reporter,none,My friends are some bullies btw lolx they get a kick out of bullying smh #randomthought
353,108332493530333184,197154206,n,,,,,,Fresno Bully Rescue . CA . Be sure to check out our website to see all the latest adoptable dogs at our shelter ... HTTPURL
354,103097898278993920,38228165,y,self-disclosure,other,n,victim,sadness,@USER all you do is bully me :(
356,104159044255748096,284439233,n,,,,,,SF Schools Expand Bullying Prevention Program - KDLT News HTTPURL
358,108222328235761664,164486284,y,self-disclosure,other,n,victim,none,I 'm being bullied by @USER ( - _ - ) ...
363,102584410221711361,72824255,n,,,,,,i usually can stand jim gray but today i was rooting for him to bully that inept ref #boxing @USER
368,105797253746278400,145817085,n,,,,,,@USER bullying detected
369,104997458282676224,104670896,y,self-disclosure,other,n,bully,none,I just kick over a homeless dude house ... I 'm such a bully #thugLife
370,108036659697811456,69800288,y,self-disclosure,other,n,defender,empathy,@USER Haters gonna hate because they are jealous ! I get bullied & I know how it feels but please put a smile on your face ? :) <3
375,108658106896097281,332020349,y,report,other,n,reporter,none,"So today in my teen leadership class , this girl started crying cuz she 's getting bullied . She almost took her life . Words hurt #stopbullying"
379,102443901415206913,130522245,n,,,,,,"@USER no jor , I bully Ў :smiling_face: ΰ in a subtle way , leave d details to me"
